flow_cfs,floodplain_acres,watershed,species
3349.22189378491,1742.65872834779,Sutter Bypass,Fall Run
6332.44078261618,2114.32529938392,Sutter Bypass,Fall Run
8440.36429512933,2125.50531038894,Sutter Bypass,Fall Run
9489.74592677299,2204.8036334905,Sutter Bypass,Fall Run
10759.2543717617,2366.92146284621,Sutter Bypass,Fall Run
11253.2874762184,2434.92259140139,Sutter Bypass,Fall Run
12869.1019495831,2481.92422244878,Sutter Bypass,Fall Run
13772.8445975348,2510.75492196927,Sutter Bypass,Fall Run
14713.0890746438,2533.27967490883,Sutter Bypass,Fall Run
17820.8335846422,2556.60987802003,Sutter Bypass,Fall Run
20430.9045928797,2583.70953641155,Sutter Bypass,Fall Run
24566.4436629696,2677.24417554084,Sutter Bypass,Fall Run
30396.9255636739,2694.0198047872,Sutter Bypass,Fall Run
35202.5872733161,2742.06775939464,Sutter Bypass,Fall Run
39637.9502661512,2754.81405997152,Sutter Bypass,Fall Run
46585.4862572863,2781.05800289581,Sutter Bypass,Fall Run
51104.3297138115,2797.62494034155,Sutter Bypass,Fall Run
61974.8808796146,2847.53399089694,Sutter Bypass,Fall Run
67821.241013601,2867.63019710836,Sutter Bypass,Fall Run
82601.4330472798,2886.98888095878,Sutter Bypass,Fall Run
92514.4019996762,2902.80327077552,Sutter Bypass,Fall Run
112371.917786593,2941.42611785085,Sutter Bypass,Fall Run
0.081458711253547,352.985049575589,Sutter Bypass,Spring Run
13.8607387542725,352.985049575589,Sutter Bypass,Spring Run
20.1956285664455,374.264235286629,Sutter Bypass,Spring Run
22.0631269840379,381.82020788103,Sutter Bypass,Spring Run
28.4497318267822,383.206857795017,Sutter Bypass,Spring Run
34.6869691838872,388.415373852235,Sutter Bypass,Spring Run
41.2591225421491,389.898806763861,Sutter Bypass,Spring Run
51.5215835571289,405.803398712029,Sutter Bypass,Spring Run
60.6497917175293,420.014449649834,Sutter Bypass,Spring Run
67.3703628302856,428.982785220946,Sutter Bypass,Spring Run
68.3108463979138,432.86470648352,Sutter Bypass,Spring Run
81.066915185958,444.254325596954,Sutter Bypass,Spring Run
89.7850875854492,471.086631090839,Sutter Bypass,Spring Run
93.3890617647319,478.768097363812,Sutter Bypass,Spring Run
118.137849303725,484.893652668539,Sutter Bypass,Spring Run
150.759020316168,527.344492163474,Sutter Bypass,Spring Run
195.616811525019,631.553794879151,Sutter Bypass,Spring Run
249.990497727468,678.81889874417,Sutter Bypass,Spring Run
281.524889535855,735.555466116693,Sutter Bypass,Spring Run
395.011937274834,820.019106575776,Sutter Bypass,Spring Run
487.795500760251,897.357669483928,Sutter Bypass,Spring Run
552.159427623057,932.113355309991,Sutter Bypass,Spring Run
588.941792068086,954.009119178147,Sutter Bypass,Spring Run
692.546040273083,1009.4774900768,Sutter Bypass,Spring Run
752.386670680862,1029.53903364509,Sutter Bypass,Spring Run
813.558561493078,1054.83561385823,Sutter Bypass,Spring Run
877.832260052775,1098.02558562492,Sutter Bypass,Spring Run
1082.01422150765,1152.99266241691,Sutter Bypass,Spring Run
1204.13693474488,1179.7960259278,Sutter Bypass,Spring Run
1324.86993756072,1205.09260614095,Sutter Bypass,Spring Run
1330.71337969686,1228.60697656192,Sutter Bypass,Spring Run
1895.27934858095,1365.25155660829,Sutter Bypass,Spring Run
2181.7589952538,1439.63084134376,Sutter Bypass,Spring Run
2385.06988493766,1453.19038777534,Sutter Bypass,Spring Run
2430.8276620183,1511.72550187274,Sutter Bypass,Spring Run
3349.22189378491,1742.65872834779,Sutter Bypass,Spring Run
6332.44078261618,2114.32529938392,Sutter Bypass,Spring Run
8440.36429512933,2125.50531038894,Sutter Bypass,Spring Run
9489.74592677299,2204.8036334905,Sutter Bypass,Spring Run
10759.2543717617,2366.92146284621,Sutter Bypass,Spring Run
11253.2874762184,2434.92259140139,Sutter Bypass,Spring Run
12869.1019495831,2481.92422244878,Sutter Bypass,Spring Run
13772.8445975348,2510.75492196927,Sutter Bypass,Spring Run
14713.0890746438,2533.27967490883,Sutter Bypass,Spring Run
17820.8335846422,2556.60987802003,Sutter Bypass,Spring Run
20430.9045928797,2583.70953641155,Sutter Bypass,Spring Run
24566.4436629696,2677.24417554084,Sutter Bypass,Spring Run
30396.9255636739,2694.0198047872,Sutter Bypass,Spring Run
35202.5872733161,2742.06775939464,Sutter Bypass,Spring Run
39637.9502661512,2754.81405997152,Sutter Bypass,Spring Run
46585.4862572863,2781.05800289581,Sutter Bypass,Spring Run
51104.3297138115,2797.62494034155,Sutter Bypass,Spring Run
61974.8808796146,2847.53399089694,Sutter Bypass,Spring Run
67821.241013601,2867.63019710836,Sutter Bypass,Spring Run
82601.4330472798,2886.98888095878,Sutter Bypass,Spring Run
92514.4019996762,2902.80327077552,Sutter Bypass,Spring Run
112371.917786593,2941.42611785085,Sutter Bypass,Spring Run
0.081458711253547,352.985049575589,Sutter Bypass,Steelhead
13.8607387542725,352.985049575589,Sutter Bypass,Steelhead
20.1956285664455,374.264235286629,Sutter Bypass,Steelhead
22.0631269840379,381.82020788103,Sutter Bypass,Steelhead
28.4497318267822,383.206857795017,Sutter Bypass,Steelhead
34.6869691838872,388.415373852235,Sutter Bypass,Steelhead
41.2591225421491,389.898806763861,Sutter Bypass,Steelhead
51.5215835571289,405.803398712029,Sutter Bypass,Steelhead
60.6497917175293,420.014449649834,Sutter Bypass,Steelhead
67.3703628302856,428.982785220946,Sutter Bypass,Steelhead
68.3108463979138,432.86470648352,Sutter Bypass,Steelhead
81.066915185958,444.254325596954,Sutter Bypass,Steelhead
89.7850875854492,471.086631090839,Sutter Bypass,Steelhead
93.3890617647319,478.768097363812,Sutter Bypass,Steelhead
118.137849303725,484.893652668539,Sutter Bypass,Steelhead
