flow_cfs,floodplain_acres,reach,miles
20251.0150403065,3.9729313621,Feather River to Freeport,33.4
20728.5742374104,4.0672028937,Feather River to Freeport,33.4
21255.8064913416,4.4944991783,Feather River to Freeport,33.4
21757.0167819467,5.1744655104,Feather River to Freeport,33.4
22293.270227906,5.7218182731,Feather River to Freeport,33.4
22811.1239425756,6.2431859286,Feather River to Freeport,33.4
23282.8031946656,6.7651961575,Feather River to Freeport,33.4
23743.9395899682,7.5774646726,Feather River to Freeport,33.4
24276.5646024084,8.2161121779,Feather River to Freeport,33.4
24650.2524631768,8.8456391552,Feather River to Freeport,33.4
25318.6012639331,9.2201067513,Feather River to Freeport,33.4
25795.171787918,11.3086360359,Feather River to Freeport,33.4
27117.4018336982,12.6320510909,Feather River to Freeport,33.4
27725.3730406549,13.0990760711,Feather River to Freeport,33.4
28361.654296875,13.4892694362,Feather River to Freeport,33.4
28697.4194304837,13.5316424696,Feather River to Freeport,33.4
29151.4316655056,13.8361244336,Feather River to Freeport,33.4
29629.9737883161,14.1230010283,Feather River to Freeport,33.4
30111.1087903065,14.379413701,Feather River to Freeport,33.4
30854.8286723726,14.9496820662,Feather River to Freeport,33.4
31877.3869675557,16.0291764446,Feather River to Freeport,33.4
32127.8830613057,16.0291764446,Feather River to Freeport,33.4
33796.785504578,16.5420370352,Feather River to Freeport,33.4
34432.8777119825,16.5420370352,Feather River to Freeport,33.4
35706.3225393113,17.5911450999,Feather River to Freeport,33.4
36584.147827926,21.1408985558,Feather River to Freeport,33.4
38139.9085016919,24.1003399229,Feather River to Freeport,33.4
39610.4245869825,29.3941028696,Feather River to Freeport,33.4
40457.0221437102,29.3941028696,Feather River to Freeport,33.4
41593.4890152269,53.2044662978,Feather River to Freeport,33.4
42384.4605642914,53.2044662978,Feather River to Freeport,33.4
43415.1760673766,77.0148297259,Feather River to Freeport,33.4
44656.0989375995,88.2449540332,Feather River to Freeport,33.4
45622.9205065685,99.4750783404,Feather River to Freeport,33.4
46603.4779558121,100.6206849564,Feather River to Freeport,33.4
47527.5346586385,103.4234501401,Feather River to Freeport,33.4
48952.164236664,105.0806087079,Feather River to Freeport,33.4
50788.3910977309,149.8104229117,Feather River to Freeport,33.4
52710.3847780653,155.94240533,Feather River to Freeport,33.4
54582.0226040008,363.5328030188,Feather River to Freeport,33.4
57265.6680433917,373.4223318496,Feather River to Freeport,33.4
58460.7440411027,534.1758673082,Feather River to Freeport,33.4
61162.4270750398,657.9354907602,Feather River to Freeport,33.4
62935.7708996815,657.9354907602,Feather River to Freeport,33.4
64908.910330414,1011.9880981068,Feather River to Freeport,33.4
67135.0208001592,1061.1783576845,Feather River to Freeport,33.4
69364.3259603901,1289.101519901,Feather River to Freeport,33.4
70365.3371317675,1524.159853072,Feather River to Freeport,33.4
72356.7446257962,1788.2346005959,Feather River to Freeport,33.4
73335.7005374204,1788.7899830739,Feather River to Freeport,33.4
75532.784982086,1974.1066468523,Feather River to Freeport,33.4
