WUA in square feet,Reach 6 – keswick to ACID; reach 5 ACID to Cow; reach 4 cow to battle; reach 3 battle to red bluff; add reach 2 redbluff to deer to represent spawning on upmid sac,,,,,,,,,,,,
flow_cfs,FR_spawn_WUA,LFR_spawn_WUA,WR_spawn_WUA,ST_spawn_WUA,FR_fry_WUA,LFR_fry_WUA,WR_fry_WUA,FR_juv_WUA,LFR_juv_WUA,WR_juv_WUA,Segment,length,length_unit
"6,000","586,295","546,463","759,708","164,954","1,076,094","1,032,322","533,007","437,516","397,833","213,928",5,18.5,mi
"6,500","571,480","528,443","774,931","164,601","1,027,073","959,582","516,278","429,452","391,379","214,618",5,18.5,mi
"7,000","548,314","507,864","782,849","162,248","987,535","910,641","507,348","415,378","379,513","213,375",5,18.5,mi
"7,500","519,331","485,617","786,638","158,970","920,058","844,090","480,768","403,861","369,939","213,238",5,18.5,mi
"8,000","487,794","462,776","788,865","155,259","878,705","805,312","465,233","389,700","357,967","211,882",5,18.5,mi
"9,000","425,010","419,447","796,884","148,633","854,996","779,547","443,239","366,604","337,271","202,957",5,18.5,mi
"10,000","354,260","371,357","804,490","136,687","861,683","800,489","478,507","343,932","316,547","192,392",5,18.5,mi
"11,000","294,671","327,119","760,657","123,797","860,183","806,031","517,041","326,096","301,242","189,399",5,18.5,mi
"12,000","247,450","288,319","703,857","108,364","883,521","848,498","577,882","307,575","286,347","191,418",5,18.5,mi
"13,000","206,321","255,082","642,741","93,326","905,810","885,857","627,183","303,378","282,764","191,542",5,18.5,mi
"14,000","173,385","226,835","585,266","79,673","935,357","936,552","706,159","295,111","276,321","194,747",5,18.5,mi
"15,000","148,479","202,932","525,439","66,425","951,758","964,000","762,018","287,064","271,036","203,902",5,18.5,mi
"17,000","118,445","170,974","438,261","49,667","974,404","948,224","780,461","295,610","282,896","233,753",5,18.5,mi
"19,000","100,282","145,888","363,681","36,995","962,999","854,180","706,836","292,924","282,744","253,550",5,18.5,mi
"21,000","90,019","126,869","306,694","29,174","1,029,185","905,142","724,657","294,145","286,178","260,475",5,18.5,mi
"23,000","79,041","107,407","265,007","22,222","1,026,002","899,763","730,934","297,394","290,711","268,330",5,18.5,mi
"25,000","64,268","85,667","223,952","17,075","1,052,079","918,752","761,857","300,465","295,729","279,798",5,18.5,mi
"27,000","55,205","69,041","194,105","14,685","1,080,166","1,011,176","850,217","306,678","303,106","292,539",5,18.5,mi
"29,000","37,679","49,477","163,971","10,416","1,072,383","1,038,966","909,606","294,400","293,470","293,412",5,18.5,mi
"31,000","30,476","38,755","140,251","8,621","1,090,278","1,024,118","917,701","311,954","312,861","320,361",5,18.5,mi
"3,250","276,159","594,401","183,474","51,509","310,195","261,560","157,210","168,836","153,022","80,455",4,8.5,mi
"3,500","276,892","600,365","192,444","54,868","291,390","244,172","151,626","165,755","150,648","81,336",4,8.5,mi
"3,750","272,541","592,640","196,452","57,352","272,722","227,618","140,543","162,893","147,887","79,619",4,8.5,mi
"4,000","264,989","580,043","199,377","58,699","255,740","214,582","136,639","160,267","145,370","77,980",4,8.5,mi
"4,250","256,007","566,310","203,223","59,887","240,606","204,543","133,666","158,505","143,761","77,429",4,8.5,mi
"4,500","245,671","551,697","206,586","61,280","229,759","198,716","131,654","157,196","142,521","76,659",4,8.5,mi
"4,750","234,779","535,892","209,738","62,778","218,257","194,643","129,931","155,165","140,637","75,669",4,8.5,mi
"5,000","224,963","521,688","212,825","64,099","207,650","189,552","129,552","152,573","138,314","74,611",4,8.5,mi
"5,250","216,404","509,143","213,293","65,443","200,231","185,557","130,038","149,420","135,572","73,749",4,8.5,mi
"5,500","206,659","495,723","213,698","66,066","197,849","184,202","131,060","146,180","132,808","73,212",4,8.5,mi
"6,000","185,983","464,213","211,047","66,231","192,651","180,206","131,184","136,817","125,003","71,834",4,8.5,mi
"6,500","169,349","438,456","206,133","66,347","189,601","177,325","130,976","125,023","114,857","69,215",4,8.5,mi
"7,000","157,307","416,373","201,431","65,046","185,033","171,677","129,475","112,951","104,210","65,480",4,8.5,mi
"7,500","149,546","398,812","194,027","61,738","182,726","168,780","132,303","100,694","93,465","61,929",4,8.5,mi
"8,000","142,220","382,482","186,206","58,108","181,538","165,903","134,116","90,525","84,674","60,027",4,8.5,mi
"9,000","139,242","363,044","168,104","52,307","178,408","159,838","136,903","73,118","69,533","56,574",4,8.5,mi
"10,000","138,499","351,438","157,839","50,630","172,710","149,453","128,653","62,690","60,586","56,143",4,8.5,mi
"11,000","128,709","328,374","151,295","47,617","169,555","143,826","130,403","56,789","55,280","54,351",4,8.5,mi
"12,000","118,806","306,657","145,137","48,518","160,310","135,216","122,539","52,852","51,753","52,520",4,8.5,mi
"13,000","103,602","274,478","137,493","48,847","155,386","129,855","116,067","49,050","48,301","49,763",4,8.5,mi
"14,000","95,217","253,174","131,529","48,150","148,975","122,394","105,802","46,214","44,930","46,077",4,8.5,mi
"15,000","91,648","235,757","125,499","47,349","152,684","131,427","123,778","43,946","42,790","44,429",4,8.5,mi
"17,000","78,673","199,947","109,710","38,321","159,754","133,579","144,539","46,566","46,150","52,528",4,8.5,mi
"19,000","58,650","154,704","92,205","28,324","158,956","128,553","134,788","49,951","49,388","58,129",4,8.5,mi
"21,000","46,418","123,540","78,074","23,117","126,325","104,020","115,771","39,799","39,448","48,842",4,8.5,mi
"23,000","33,983","89,360","61,959","16,237","126,082","114,814","132,843","37,214","37,785","49,266",4,8.5,mi
"25,000","24,096","65,796","52,154","12,484","127,585","116,594","137,455","38,989","39,906","52,275",4,8.5,mi
"27,000","18,369","49,500","43,508","10,339","130,969","128,449","156,988","37,972","39,340","53,362",4,8.5,mi
"29,000","16,483","41,159","37,005","9,570","137,566","146,676","183,712","37,488","39,867","57,225",4,8.5,mi
"31,000","14,955","34,776","32,264","9,361","144,365","154,386","189,362","37,773","40,386","57,197",4,8.5,mi
"3,250","1,767,681",,,,,,,,,,3,22.5,mi
"3,500","1,781,938",,,,,,,,,,3,22.5,mi
"3,750","1,800,435",,,,,,,,,,3,22.5,mi
"4,000","1,798,990",,,,,,,,,,3,22.5,mi
"4,250","1,764,309",,,,,,,,,,3,22.5,mi
"4,500","1,783,672",,,,,,,,,,3,22.5,mi
"4,750","1,813,440",,,,,,,,,,3,22.5,mi
"5,000","1,793,788",,,,,,,,,,3,22.5,mi
"5,250","1,784,443",,,,,,,,,,3,22.5,mi
"5,500","1,770,378",,,,,,,,,,3,22.5,mi
"6,000","1,741,284",,,,,,,,,,3,22.5,mi
"6,500","1,676,931",,,,,,,,,,3,22.5,mi
"7,000","1,622,598",,,,,,,,,,3,22.5,mi
"7,500","1,578,379",,,,,,,,,,3,22.5,mi
"8,000","1,512,581",,,,,,,,,,3,22.5,mi
"9,000","1,391,679",,,,,,,,,,3,22.5,mi
"10,000","1,290,140",,,,,,,,,,3,22.5,mi
