species,scenario,life_stage,suit_type,flow,suit_acres,timestamp,has_lowering,source
Hardhead,Alt1,juv,instream,7000,4.91151052770592,2018-11-19T10:00:00Z,FALSE,Alt1_no_lowering_hardhead.csv
Hardhead,Alt1,juv,floodplain,7000,24.059860124565574,2018-11-19T10:00:00Z,FALSE,Alt1_no_lowering_hardhead.csv
Hardhead,Alt1,adult,instream,7000,8.699500728042933,2018-11-19T10:00:00Z,FALSE,Alt1_no_lowering_hardhead.csv
Hardhead,Alt1,adult,floodplain,7000,42.73380985367818,2018-11-19T10:00:00Z,FALSE,Alt1_no_lowering_hardhead.csv
Hardhead,Alt1,juv,instream,9000,3.6026572911814347,2018-11-19T20:00:00Z,FALSE,Alt1_no_lowering_hardhead.csv
Hardhead,Alt1,juv,floodplain,9000,29.916303336902427,2018-11-19T20:00:00Z,FALSE,Alt1_no_lowering_hardhead.csv
Hardhead,Alt1,adult,instream,9000,7.509357249104269,2018-11-19T20:00:00Z,FALSE,Alt1_no_lowering_hardhead.csv
Hardhead,Alt1,adult,floodplain,9000,50.297538748540376,2018-11-19T20:00:00Z,FALSE,Alt1_no_lowering_hardhead.csv
Hardhead,Alt1,juv,instream,10000,3.105497332292278,2018-11-20T06:00:00Z,FALSE,Alt1_no_lowering_hardhead.csv
Hardhead,Alt1,juv,floodplain,10000,32.57263440790001,2018-11-20T06:00:00Z,FALSE,Alt1_no_lowering_hardhead.csv
Hardhead,Alt1,adult,instream,10000,6.927024286107531,2018-11-20T06:00:00Z,FALSE,Alt1_no_lowering_hardhead.csv
Hardhead,Alt1,adult,floodplain,10000,53.947921943090435,2018-11-20T06:00:00Z,FALSE,Alt1_no_lowering_hardhead.csv
Hardhead,Alt1,juv,instream,11000,2.6874350019998476,2018-11-20T16:00:00Z,FALSE,Alt1_no_lowering_hardhead.csv
Hardhead,Alt1,juv,floodplain,11000,35.16769356365544,2018-11-20T16:00:00Z,FALSE,Alt1_no_lowering_hardhead.csv
Hardhead,Alt1,adult,instream,11000,6.330366284642277,2018-11-20T16:00:00Z,FALSE,Alt1_no_lowering_hardhead.csv
Hardhead,Alt1,adult,floodplain,11000,58.013979760829315,2018-11-20T16:00:00Z,FALSE,Alt1_no_lowering_hardhead.csv
