flow_cfs,floodplain_acres,watershed,species
15282.4381399803,22.9801710929091,North Delta,Spring Run
15685.5031714578,32.3693661292121,North Delta,Spring Run
16104.760490936,42.4621209644242,North Delta,Spring Run
16721.6462331235,42.4621209644242,North Delta,Spring Run
17393.5136386908,42.4621209644242,North Delta,Spring Run
17842.2804820237,42.4621209644242,North Delta,Spring Run
18687.5809503944,42.4621209644242,North Delta,Spring Run
19133.1464511908,60.0412097219697,North Delta,Spring Run
19803.2856303095,85.9444398967576,North Delta,Spring Run
20189.4867168538,85.9444398967576,North Delta,Spring Run
20776.991485892,94.4868796762424,North Delta,Spring Run
21387.1585728914,102.671069993758,North Delta,Spring Run
21702.5207732858,102.671069993758,North Delta,Spring Run
22742.2403031136,124.22339623234,North Delta,Spring Run
23524.2950166869,143.777115697786,North Delta,Spring Run
24722.3908051426,148.615442765483,North Delta,Spring Run
25263.6835463441,174.62023002364,North Delta,Spring Run
26457.3184304839,177.952188056044,North Delta,Spring Run
27222.4485550667,197.639261053041,North Delta,Spring Run
28409.8262666869,219.026536874354,North Delta,Spring Run
29539.5452015701,286.386780458859,North Delta,Spring Run
30565.4348263046,347.939056644082,North Delta,Spring Run
31613.2023522831,384.029312405626,North Delta,Spring Run
33057.7578788683,427.093985219957,North Delta,Spring Run
34695.8583842157,520.690369333027,North Delta,Spring Run
35586.8678417021,588.958782262937,North Delta,Spring Run
36396.2519246814,653.353272704056,North Delta,Spring Run
