species,scenario,life_stage,suit_type,flow,suit_acres,timestamp,has_lowering
Steelhead,Alt1,spawn,instream,11000,0.4173475786301274,2018-11-20T16:00:00Z,TRUE
Steelhead,Alt1,fry,instream,11000,2.418754464008549e-4,2018-11-20T16:00:00Z,TRUE
Steelhead,Alt1,fry,floodplain,11000,25.60936738190357,2018-11-20T16:00:00Z,TRUE
Steelhead,Alt1,juv,instream,11000,0.09140770832376081,2018-11-20T16:00:00Z,TRUE
Steelhead,Alt1,juv,floodplain,11000,201.600457302442,2018-11-20T16:00:00Z,TRUE
Steelhead,Alt1,spawn,instream,12000,0.2733701454567027,2018-11-21T02:00:00Z,TRUE
Steelhead,Alt1,fry,instream,12000,1.629946388505774e-4,2018-11-21T02:00:00Z,TRUE
Steelhead,Alt1,fry,floodplain,12000,25.387091924743658,2018-11-21T02:00:00Z,TRUE
Steelhead,Alt1,juv,instream,12000,0.07973758639973322,2018-11-21T02:00:00Z,TRUE
Steelhead,Alt1,juv,floodplain,12000,204.01006468660464,2018-11-21T02:00:00Z,TRUE
Steelhead,Alt1,spawn,instream,13000,0.19448849235787088,2018-11-21T12:00:00Z,TRUE
Steelhead,Alt1,fry,instream,13000,1.0781928128478146e-4,2018-11-21T12:00:00Z,TRUE
Steelhead,Alt1,fry,floodplain,13000,25.381850201803125,2018-11-21T12:00:00Z,TRUE
Steelhead,Alt1,juv,instream,13000,0.0706175955651023,2018-11-21T12:00:00Z,TRUE
Steelhead,Alt1,juv,floodplain,13000,206.00596415398317,2018-11-21T12:00:00Z,TRUE
Steelhead,Alt1,spawn,instream,14000,0.16738295660586217,2018-11-21T22:00:00Z,TRUE
Steelhead,Alt1,fry,instream,14000,6.899559121856218e-5,2018-11-21T22:00:00Z,TRUE
Steelhead,Alt1,fry,floodplain,14000,27.194950639431056,2018-11-21T22:00:00Z,TRUE
Steelhead,Alt1,juv,instream,14000,0.06260306166338163,2018-11-21T22:00:00Z,TRUE
Steelhead,Alt1,juv,floodplain,14000,208.9605905286628,2018-11-21T22:00:00Z,TRUE
Steelhead,Alt1,spawn,instream,15000,0.14445853934737382,2018-11-22T08:00:00Z,TRUE
Steelhead,Alt1,fry,instream,15000,4.874479850622751e-5,2018-11-22T08:00:00Z,TRUE
Steelhead,Alt1,fry,floodplain,15000,27.500348266269555,2018-11-22T08:00:00Z,TRUE
Steelhead,Alt1,juv,instream,15000,0.05433617106371797,2018-11-22T08:00:00Z,TRUE
Steelhead,Alt1,juv,floodplain,15000,212.7138817624157,2018-11-22T08:00:00Z,TRUE
Steelhead,Existing,spawn,instream,100,30.08408620730157,2018-11-15T06:00:00Z,NA
Steelhead,Existing,fry,instream,100,1.881447925043789,2018-11-15T06:00:00Z,NA
Steelhead,Existing,fry,floodplain,100,4.540106622973371,2018-11-15T06:00:00Z,NA
Steelhead,Existing,juv,instream,100,37.03974440314383,2018-11-15T06:00:00Z,NA
Steelhead,Existing,juv,floodplain,100,9.362242186529382,2018-11-15T06:00:00Z,NA
Steelhead,Existing,spawn,instream,250,36.74765959141346,2018-11-15T16:00:00Z,NA
Steelhead,Existing,fry,instream,250,0.9564902577796008,2018-11-15T16:00:00Z,NA
Steelhead,Existing,fry,floodplain,250,5.6190327081184694,2018-11-15T16:00:00Z,NA
Steelhead,Existing,juv,instream,250,44.933944522363895,2018-11-15T16:00:00Z,NA
Steelhead,Existing,juv,floodplain,250,18.370237090554557,2018-11-15T16:00:00Z,NA
Steelhead,Existing,spawn,instream,300,35.09622629115149,2018-11-16T02:00:00Z,NA
Steelhead,Existing,fry,instream,300,0.7144583297573137,2018-11-16T02:00:00Z,NA
Steelhead,Existing,fry,floodplain,300,6.440304345967753,2018-11-16T02:00:00Z,NA
Steelhead,Existing,juv,instream,300,45.38799245355345,2018-11-16T02:00:00Z,NA
Steelhead,Existing,juv,floodplain,300,21.8464070727226,2018-11-16T02:00:00Z,NA
Steelhead,Existing,spawn,instream,400,30.75310695793059,2018-11-16T12:00:00Z,NA
Steelhead,Existing,fry,instream,400,0.4852241399613469,2018-11-16T12:00:00Z,NA
Steelhead,Existing,fry,floodplain,400,6.78762177444008,2018-11-16T12:00:00Z,NA
Steelhead,Existing,juv,instream,400,43.87619765993834,2018-11-16T12:00:00Z,NA
Steelhead,Existing,juv,floodplain,400,27.053550867361782,2018-11-16T12:00:00Z,NA
Steelhead,Existing,spawn,instream,500,26.54139631187158,2018-11-16T22:00:00Z,NA
